anchor,positive,negative
embeddings_train_data\footwear\anchor\aca82a6a8ebce1aeff87f83a1436f63e.jpg,embeddings_train_data\footwear\positive\3588ae372948dde8a8cfb39eda1c8898.jpg,embeddings_train_data\footwear\positive\4748935cd6e1d9407963fa9f13edee78.jpg
embeddings_train_data\footwear\anchor\efecf77a60e3a1f054b43e9cfb9740e2.jpg,embeddings_train_data\footwear\positive\e6d4937f4f6c1675ea6777533a236b81.jpg,embeddings_train_data\footwear\positive\1b6e5b401f6cda7082066bb55120e322.jpg
embeddings_train_data\footwear\anchor\a6c6acb96ef8d2fa9eb4b55f3adc5019.jpg,embeddings_train_data\footwear\positive\1f3db524f6fa05cf51cbe8283c416f1b.jpg,embeddings_train_data\footwear\positive\0c6430ef6e46935c1edbfbb08f9add6a.jpg
embeddings_train_data\footwear\anchor\951b71a85fd31ac2d696dc1bcdd31648.jpg,embeddings_train_data\footwear\positive\8b215371b0bbaecbfffce7d0079c1017.jpg,embeddings_train_data\footwear\positive\1e846ddd60abedc7296bb3bd1d63277a.jpg
embeddings_train_data\footwear\anchor\6763b8338457299f315a0c5c91fadf78.jpg,embeddings_train_data\footwear\positive\f46c197965d2a6e9c154c9706b423846.jpg,embeddings_train_data\footwear\positive\501bac7863f67f5cd88e189913d06088.jpg
embeddings_train_data\footwear\anchor\b06b4b65f69df4d409e015ffaa955d3d.jpg,embeddings_train_data\footwear\positive\27ffb33af3105af6a3dcb7142f34afec.jpg,embeddings_train_data\footwear\positive\4eb427f331a3c29503ebcb4f027ca6e2.jpg
embeddings_train_data\footwear\anchor\2afc74b968fd57edab5c32c0b6a6d359.jpg,embeddings_train_data\footwear\positive\302407534913b61fb7f10e34a72dddec.jpg,embeddings_train_data\footwear\positive\51d6c23b9d66e21c47e59f7fcefcdf0d.jpg
embeddings_train_data\footwear\anchor\edf3bdbeb9ea2514ef0b3f117bb183f4.jpg,embeddings_train_data\footwear\positive\a253d1c619754b01731d7bd438ff4437.jpg,embeddings_train_data\footwear\positive\e68be74e6fd910d04929301feebde71d.jpg
embeddings_train_data\footwear\anchor\e3aeac5d01a20d5793510103347975f4.jpg,embeddings_train_data\footwear\positive\e2592b5193b6eb15c39080cf8119b382.jpg,embeddings_train_data\footwear\positive\feddf32dae87b598830f2a2c27a267a6.jpg
embeddings_train_data\footwear\anchor\99c8af2769aef0c427d691b811d7bbbb.jpg,embeddings_train_data\footwear\positive\84f2f62aaf235a9abfe95d7fd595ef86.jpg,embeddings_train_data\footwear\positive\dc0747f830412838d23c11a3637408a2.jpg
embeddings_train_data\footwear\anchor\5ad891b2bd4209ea6be0bedf6490ea25.jpg,embeddings_train_data\footwear\positive\47efd60b769ed027cfe997845bdacfc4.jpg,embeddings_train_data\footwear\positive\4402c317fb2acb73f1537f33e8c928c8.jpg
embeddings_train_data\footwear\anchor\94712de343a90f3b5a05ebfb0a89324c.jpg,embeddings_train_data\footwear\positive\a03f9b3e617259efa6b60d575b3f544c.jpg,embeddings_train_data\footwear\positive\6edf336942d280e7b996f01afeaf0bf9.jpg
embeddings_train_data\footwear\anchor\49a6c2393d4f53bcb36d6a854b89673e.jpg,embeddings_train_data\footwear\positive\eb0a749f27e12674102477435038ec64.jpg,embeddings_train_data\footwear\positive\fc606237ad0950633a90a5a12f591c3b.jpg
embeddings_train_data\footwear\anchor\2606a44a1966322cc3af6555be944363.jpg,embeddings_train_data\footwear\positive\8b53276f97eac0d51c84201720201fd9.jpg,embeddings_train_data\footwear\positive\96d7103c16ae8e83f46ff31d4f0cee9b.jpg
embeddings_train_data\footwear\anchor\2da07dd61b5e66daad4c46e3ab9521a2.jpg,embeddings_train_data\footwear\positive\dbd32a75b5acd8e07de60e2521f5df85.jpg,embeddings_train_data\footwear\positive\c01879a0420c173ec69a2c65bd089e90.jpg
embeddings_train_data\footwear\anchor\00bef040becb54347fb2ff2ccb6bbe16.jpg,embeddings_train_data\footwear\positive\4501e4db94a7d30df96296c37aefb8d6.jpg,embeddings_train_data\footwear\positive\b56db837254ebf7b8864ef73e6c3e600.jpg
embeddings_train_data\footwear\anchor\ceb761166516c20f0cdfdcd645e5c298.jpg,embeddings_train_data\footwear\positive\72ecc255e3cf1a0e2ed960b6a2432577.jpg,embeddings_train_data\footwear\positive\696eaca56df356dc96e2f26f4ed26dd8.jpg
embeddings_train_data\footwear\anchor\d188ae50a0a36bbfc9d0ed1155b4b006.jpg,embeddings_train_data\footwear\positive\6c9115a513b585ecce9a3c8a13dba02c.jpg,embeddings_train_data\footwear\positive\bb422f273e90382fd9d9edbfb1514984.jpg
embeddings_train_data\footwear\anchor\308e5be4756ccf5b9bfcf370fd44b6bd.jpg,embeddings_train_data\footwear\positive\c6ed9ad84f6155207d7fc078e55903b0.jpg,embeddings_train_data\footwear\positive\b2e3763d9c5441907f7c7c721800fe11.jpg
embeddings_train_data\footwear\anchor\7aa9d3ddd5cf71f7cdff073b5cd46a3c.jpg,embeddings_train_data\footwear\positive\7a1f2edd5af6a2e700d9159739fffd43.jpg,embeddings_train_data\footwear\positive\9c5e6628eb37106acd017a4fa9ebd238.jpg
embeddings_train_data\footwear\anchor\d6e943cabd505218015f3a557e2b9bbf.jpg,embeddings_train_data\footwear\positive\8420fe752e8788be709639aafa73e6a5.jpg,embeddings_train_data\footwear\positive\a1d8a7fd7d0433f72a612d5c6e837b61.jpg
embeddings_train_data\footwear\anchor\1647a1144c10f3d5ef115f257df072cd.jpg,embeddings_train_data\footwear\positive\bda348a7283d3c03d4b869b635cde1d0.jpg,embeddings_train_data\footwear\positive\8d4e5660316db48bbf9fbf480ef0d799.jpg
embeddings_train_data\footwear\anchor\fdf0b0a00475b03a0364480af5796731.jpg,embeddings_train_data\footwear\positive\66cf139aa65fcf428cc3285738f78938.jpg,embeddings_train_data\footwear\positive\a8df1910e030ad14ade3d149991e26c5.jpg
embeddings_train_data\footwear\anchor\40703e43cc603f98027543144b4119da.jpg,embeddings_train_data\footwear\positive\f2bd67e9b9986d4416e5e2396446c99c.jpg,embeddings_train_data\footwear\positive\1fd3a29fc75ce8e1a6df03dfdaa18a50.jpg
embeddings_train_data\footwear\anchor\ef9b6ad958b639220a69c4efbf9da5f2.jpg,embeddings_train_data\footwear\positive\fc89e414c1fae9a9f330d9788dc83eaf.jpg,embeddings_train_data\footwear\positive\8be76cd2d862b6d6e519999c06905c9b.jpg
embeddings_train_data\footwear\anchor\8564d66ddebd3d800e3f091985e5904a.jpg,embeddings_train_data\footwear\positive\9cc916089e89e5683bd72362bd9edc1a.jpg,embeddings_train_data\footwear\positive\5651565c24663d645723a3d205172f3b.jpg
embeddings_train_data\footwear\anchor\f4e5aed917291229ce2de64d34be4ecc.jpg,embeddings_train_data\footwear\positive\7217c34dec552e7da3d69134c413db80.jpg,embeddings_train_data\footwear\positive\b6a53a5455bae244eea79db51fefa92e.jpg
embeddings_train_data\footwear\anchor\02f173cdaa2bb7a9aefa742bfdd71e65.jpg,embeddings_train_data\footwear\positive\18579424412b2c9ca440808108deaa5e.jpg,embeddings_train_data\footwear\positive\07874ff6173f87906248dfabd1bb0969.jpg
embeddings_train_data\footwear\anchor\00c7db1db789b31587f10f4a9678108e.jpg,embeddings_train_data\footwear\positive\e1a6a53987fb24d6603c30b73fcdf602.jpg,embeddings_train_data\footwear\positive\03158cccca1466615a702e8a599016b9.jpg
embeddings_train_data\footwear\anchor\a9ef882bec38c9a81c73c5380373162c.jpg,embeddings_train_data\footwear\positive\8c25d477a4a3af91670e6829185afab6.jpg,embeddings_train_data\footwear\positive\ecfd5d35ceb0feb1daab5f4a4ccfba91.jpg
embeddings_train_data\footwear\anchor\593a6bd39298d58f3ddadbe53eab3494.jpg,embeddings_train_data\footwear\positive\3cf3664adcd84af055b09cdce9fd47cb.jpg,embeddings_train_data\footwear\positive\64d6f0ac390fc5fb42eba2a2de268bce.jpg
embeddings_train_data\footwear\anchor\79ce05d99306ab8855f1d28052471ef2.jpg,embeddings_train_data\footwear\positive\bca9d4e6ff3af3673daa0bb65d885d5f.jpg,embeddings_train_data\footwear\positive\b1425e26c533099c970884a953c03ed9.jpg
embeddings_train_data\footwear\anchor\d18430fdcb5f6b73fb9862ca3d92998c.jpg,embeddings_train_data\footwear\positive\5bf660015ea7cb9742de66be115c6204.jpg,embeddings_train_data\footwear\positive\4bc7484ca3dc0c3478a745729e6c08d4.jpg
embeddings_train_data\footwear\anchor\518276936f6bf72a34ae84bba7527638.jpg,embeddings_train_data\footwear\positive\0c6b6a39f37034528c877b02a44b0dbe.jpg,embeddings_train_data\footwear\positive\ed2730af1f993a0585d63630b526aee1.jpg
embeddings_train_data\footwear\anchor\161f22fa31a79442de8a02d640825e5a.jpg,embeddings_train_data\footwear\positive\9ad6d269f366e0573c3e878ba5d4935b.jpg,embeddings_train_data\footwear\positive\abf83e49e6a710245deacbb08db1ffb0.jpg
embeddings_train_data\footwear\anchor\5ee3487d19d70dc672c25b72024e8d70.jpg,embeddings_train_data\footwear\positive\2ef350a98151737b0d0710d7498740e1.jpg,embeddings_train_data\footwear\positive\464edc396a5a6bbaa26154637edcc332.jpg
embeddings_train_data\footwear\anchor\fe4ef8a4b4a5649b047ecd2940e07836.jpg,embeddings_train_data\footwear\positive\22c556ffb01b09bbaa7a558a95757f7f.jpg,embeddings_train_data\footwear\positive\0b323ddc6eba91044819ad2a51a5142a.jpg
embeddings_train_data\footwear\anchor\432135aab6b9de90532dcb963973e8d5.jpg,embeddings_train_data\footwear\positive\85198e7e9078e33d701055437d01abf3.jpg,embeddings_train_data\footwear\positive\413c4a54612cdeacb03b463bac81bfde.jpg
embeddings_train_data\footwear\anchor\b064ef099ec52a3f611aacbe06322b2b.jpg,embeddings_train_data\footwear\positive\0f7cb48c04f9a9626eb77c74aeb209db.jpg,embeddings_train_data\footwear\positive\37594ecb5546a6398be6fdc09847805a.jpg
embeddings_train_data\footwear\anchor\089301c21569ce11e303214e633a4339.jpg,embeddings_train_data\footwear\positive\b01fa9414a91c4de683a53c609a286aa.jpg,embeddings_train_data\footwear\positive\8ddcae6292e201ed3b0f9e946a6f2930.jpg
embeddings_train_data\footwear\anchor\208d63becc2fb3da92d8934daedf6ab8.jpg,embeddings_train_data\footwear\positive\a69bfd73f9122cccf3895dc39b521209.jpg,embeddings_train_data\footwear\positive\4d29ac033a94ee4d006476ce9459c22b.jpg
embeddings_train_data\footwear\anchor\da5df7de942b12a0f5c7d8da0e05f490.jpg,embeddings_train_data\footwear\positive\f8ec2bf40698224ed863cb93bb89f285.jpg,embeddings_train_data\footwear\positive\b730ff553fbf71a466052400129805ff.jpg
embeddings_train_data\footwear\anchor\48c806b2b5ea1099f316ad8e85312ef8.jpg,embeddings_train_data\footwear\positive\bb43b6f3244c3a4b418cdad419b6285b.jpg,embeddings_train_data\footwear\positive\6d280bfecc5ea0e736ab46bc69705508.jpg
embeddings_train_data\footwear\anchor\a9992c081b35a7c594f9fc3562d35163.jpg,embeddings_train_data\footwear\positive\580ae073a0029c93740e1267b65733b9.jpg,embeddings_train_data\footwear\positive\a1f76231a5b923fc2c70e231d1b63363.jpg
embeddings_train_data\footwear\anchor\1e93a579c5e00c06d20af5946cb2e1ca.jpg,embeddings_train_data\footwear\positive\b78eb2a5768123c1f1eb1c47191b312f.jpg,embeddings_train_data\footwear\positive\b5ce9095e7bd53d73c2e16f8eee771fe.jpg
embeddings_train_data\footwear\anchor\df70f6e7f7d566ed38a48c3a6eddae04.jpg,embeddings_train_data\footwear\positive\ac2f905ba8ec11a5f1509190c291b29d.jpg,embeddings_train_data\footwear\positive\bd84e2268484ee9c2c8aa320dae32069.jpg
embeddings_train_data\footwear\anchor\c991bd30f3892a035051b26b5922ef89.jpg,embeddings_train_data\footwear\positive\33e2ba68bea0f4d94aea7435daef148c.jpg,embeddings_train_data\footwear\positive\bccedec87a322accb4d259108b19b2a9.jpg
embeddings_train_data\footwear\anchor\b064ef099ec52a3f611aacbe06322b2b.jpg,embeddings_train_data\footwear\positive\4fa62d55e00cf0b0bd742fc362730689.jpg,embeddings_train_data\footwear\positive\8d5b6f2896b0e5e794a3a9ed152adea2.jpg
embeddings_train_data\footwear\anchor\10bc74caeca81ef9eb865cd23be16241.jpg,embeddings_train_data\footwear\positive\776ac6f4a162d338669629c125386505.jpg,embeddings_train_data\footwear\positive\09c0ecd5ba3d57296e6061b2e6fa37ba.jpg
embeddings_train_data\footwear\anchor\929ee01d79a6ac784b8044bd18918d25.jpg,embeddings_train_data\footwear\positive\269a4b0b0d880106ce56a3cdb77e58ef.jpg,embeddings_train_data\footwear\positive\d945871de5458ee89b1b2b03ba65bedc.jpg
embeddings_train_data\footwear\anchor\afaaee43cc5f2983c3c69fb4b13a709e.jpg,embeddings_train_data\footwear\positive\593ece3c3dc90f581965c7839e6af386.jpg,embeddings_train_data\footwear\positive\277a83a8cbffe58c002a7bc473b13879.jpg
embeddings_train_data\footwear\anchor\bf5973659e593f272ff749e7b75b6c2f.jpg,embeddings_train_data\footwear\positive\ffd587e017683410e76a5d2c45341c50.jpg,embeddings_train_data\footwear\positive\b26374fb651b0eaa29700227fc7b09ea.jpg
embeddings_train_data\footwear\anchor\41c41ec5b52dec91fa4448aae5471479.jpg,embeddings_train_data\footwear\positive\b84a8d7424e5fbfdab24d0f33a44fcd3.jpg,embeddings_train_data\footwear\positive\8233fbb18d0f656fc8758cca17f5eb44.jpg
embeddings_train_data\footwear\anchor\61ab3d81dfe84efd68473319ce2831af.jpg,embeddings_train_data\footwear\positive\2f7221a83b92da7a92dcb26b39d167b1.jpg,embeddings_train_data\footwear\positive\6998fdef68d8f0bd68a47aaa249cea71.jpg
embeddings_train_data\footwear\anchor\518276936f6bf72a34ae84bba7527638.jpg,embeddings_train_data\footwear\positive\8e4e2b19f46c7ca8a3d8c1c022886ad2.jpg,embeddings_train_data\footwear\positive\2c3c9a478676e48eb0fba539b9892451.jpg
