anchor,positive,negative
embeddings_train_data\bottomwear\anchor\e01a663d909259d049a250ddf174a77c.jpg,embeddings_train_data\bottomwear\positive\5c0c627b7c466d4b049cb09f14da3942.jpg,embeddings_train_data\bottomwear\positive\cb9add55abf3af245b16219cde2cbf7d.jpg
embeddings_train_data\bottomwear\anchor\59a937b74e53b8d3b3738260c9479208.jpg,embeddings_train_data\bottomwear\positive\35d5e094050567df21902be68903e9bb.jpg,embeddings_train_data\bottomwear\positive\e7cb98cc3a14aae7d6f5302c53f26886.jpg
embeddings_train_data\bottomwear\anchor\d6a04449b194ec6202d260191cdf217d.jpg,embeddings_train_data\bottomwear\positive\94e9445fa5a79649a02438fa64b63918.jpg,embeddings_train_data\bottomwear\positive\8f5323522890e340a0f1b7e417e8fc9a.jpg
embeddings_train_data\bottomwear\anchor\9b04b32b35e47ab7624ff2acd4fef9ea.jpg,embeddings_train_data\bottomwear\positive\293472beeac575f052cd47c62540c5f0.jpg,embeddings_train_data\bottomwear\positive\1d8384a6dcbc10a4e6c2d9a7c2391c4e.jpg
embeddings_train_data\bottomwear\anchor\df42166e6a339e13e6d2555ca8b4e571.jpg,embeddings_train_data\bottomwear\positive\9f52f839a99362021a51a0509d7a6c28.jpg,embeddings_train_data\bottomwear\positive\745d221c3c702aeca9f90d808a4c2f07.jpg
embeddings_train_data\bottomwear\anchor\3bb8f3f6f3a95f6e7e41bfbeb1a70e1b.jpg,embeddings_train_data\bottomwear\positive\a0bc4cb2c6dcd51adf36ace55282ef63.jpg,embeddings_train_data\bottomwear\positive\f90011f5e4fac9c669d8a4471a909d35.jpg
embeddings_train_data\bottomwear\anchor\90c76a40949658b33612861ef86c406f.jpg,embeddings_train_data\bottomwear\positive\c9aff28f1a533353b0afb1f6a6edfbf2.jpg,embeddings_train_data\bottomwear\positive\6a6cabee3812f1d62c1559604c70c3d1.jpg
embeddings_train_data\bottomwear\anchor\19ec8f289cb201ec38f19d832e62036b.jpg,embeddings_train_data\bottomwear\positive\1b6ba6059224f39572f4fba7213fdb00.jpg,embeddings_train_data\bottomwear\positive\84fff4a52c012f2da8d46bd2a9644e49.jpg
embeddings_train_data\bottomwear\anchor\e8a5e11992d3bffd1fd30752592992ae.jpg,embeddings_train_data\bottomwear\positive\7f06e7a2ce4f8a6b0a2182d5e7b9e010.jpg,embeddings_train_data\bottomwear\positive\cabafad7545d2b96a7453b32c9fdf36a.jpg
embeddings_train_data\bottomwear\anchor\cdd2f4af29d1ac766918c8d77645db2a.jpg,embeddings_train_data\bottomwear\positive\b48c3a71fb3ea90f5038c65a921b0532.jpg,embeddings_train_data\bottomwear\positive\540d2d07ce9a078fda90acf1be71cda5.jpg
embeddings_train_data\bottomwear\anchor\47bc56975a2a399b70e9d56487f500b2.jpg,embeddings_train_data\bottomwear\positive\b94e2cfadf952773a929ceadf760b5c9.jpg,embeddings_train_data\bottomwear\positive\94e9445fa5a79649a02438fa64b63918.jpg
embeddings_train_data\bottomwear\anchor\bd03029586f53904eb0a6ea12314c541.jpg,embeddings_train_data\bottomwear\positive\a9295db4930e3d8781f836f02a331dee.jpg,embeddings_train_data\bottomwear\positive\4a4e7f62c80addaa04c3250471a490a7.jpg
embeddings_train_data\bottomwear\anchor\cfbfa692fb2300189221df672d68d4f6.jpg,embeddings_train_data\bottomwear\positive\38208fb4718af2eb6f9e46535437c7d5.jpg,embeddings_train_data\bottomwear\positive\7703c34969e4597d37ba6dfff9084c3c.jpg
embeddings_train_data\bottomwear\anchor\6f284c6b8cc5462c0af610fdb0202006.jpg,embeddings_train_data\bottomwear\positive\b795b81f910fdd9bb3505033a5b41774.jpg,embeddings_train_data\bottomwear\positive\5b7508e008a17e97c7ffd0171b852c7a.jpg
embeddings_train_data\bottomwear\anchor\05930f543b8b556960ac7e18ef99c949.jpg,embeddings_train_data\bottomwear\positive\b4e52a4300ace03bd5069d6929e2e334.jpg,embeddings_train_data\bottomwear\positive\eb7c916af365805c6907221ecd2c741a.jpg
embeddings_train_data\bottomwear\anchor\0a18d7601cda0cfb72637420ef27a77d.jpg,embeddings_train_data\bottomwear\positive\7924d3eed80039e8b6f0d72898c5d612.jpg,embeddings_train_data\bottomwear\positive\f75d7df67eb872de1254653a60e85860.jpg
embeddings_train_data\bottomwear\anchor\af6223f4dd2b8e710cbc2101b5033fdc.jpg,embeddings_train_data\bottomwear\positive\b5f0f3f6af24018d0782ec6f6356c968.jpg,embeddings_train_data\bottomwear\positive\1f3c8b430c3fe1e72e83d88e2ed91837.jpg
embeddings_train_data\bottomwear\anchor\1082f57ea883de8e7c0e9955e25227f3.jpg,embeddings_train_data\bottomwear\positive\ff7d39b52eab92dd3b744f26b3652817.jpg,embeddings_train_data\bottomwear\positive\36777494a1e5f9b8d8d15cd8370d24b1.jpg
embeddings_train_data\bottomwear\anchor\e8e4d821bc1d430c5647c41f3d0e70d1.jpg,embeddings_train_data\bottomwear\positive\7604175fd2bda877332de432f7998fc9.jpg,embeddings_train_data\bottomwear\positive\4d75e864e163a4f55a687c30c6a386df.jpg
embeddings_train_data\bottomwear\anchor\e4d731f15c9cee4f1893b2e5a762b7ef.jpg,embeddings_train_data\bottomwear\positive\81575576d8ff623ede271094feedf9a5.jpg,embeddings_train_data\bottomwear\positive\acab72d8c3d47d51ddf277fbeea40a90.jpg
embeddings_train_data\bottomwear\anchor\1d4a93743a1d8174936551b49af36d63.jpg,embeddings_train_data\bottomwear\positive\c2c43ce039457308c491b026223f1ae7.jpg,embeddings_train_data\bottomwear\positive\fc3f2713e86dc229618bba7a29619138.jpg
embeddings_train_data\bottomwear\anchor\03995f4d02348f0b43151f5a1bb88915.jpg,embeddings_train_data\bottomwear\positive\d7231d313404ab5fe097821959767844.jpg,embeddings_train_data\bottomwear\positive\64b6d012b1b7f9cb22f0642ea72df88a.jpg
embeddings_train_data\bottomwear\anchor\3f7a85c1c2a1276499b04bed9d75db61.jpg,embeddings_train_data\bottomwear\positive\e052569860c6ebcb3a3138d0843c46ed.jpg,embeddings_train_data\bottomwear\positive\2c4ad5f701f0c36488e6dfd3c06e3d44.jpg
embeddings_train_data\bottomwear\anchor\15f15a00a20a9483292b2c04f88da813.jpg,embeddings_train_data\bottomwear\positive\7e29f2e544e1798adda052cbc8d10ba5.jpg,embeddings_train_data\bottomwear\positive\226e42292df05690b8ff25b75951f45c.jpg
embeddings_train_data\bottomwear\anchor\6f52fee603cdf15ba8c633e478d73748.jpg,embeddings_train_data\bottomwear\positive\4791e93ebc0571a1da5e6c3d6b776ced.jpg,embeddings_train_data\bottomwear\positive\f7669f83a5f559068dccee13c49f679e.jpg
embeddings_train_data\bottomwear\anchor\2b322838e76fe4786efccc6fbfbb2523.jpg,embeddings_train_data\bottomwear\positive\a0af7158317ec78afdd92e694079151a.jpg,embeddings_train_data\bottomwear\positive\aa6780a19882f9e8a716942773fbc4d0.jpg
embeddings_train_data\bottomwear\anchor\de8bd6484f1ee4e29696df898208f462.jpg,embeddings_train_data\bottomwear\positive\aa46de4108965140db83c7fd5235fd9d.jpg,embeddings_train_data\bottomwear\positive\c2e6ae9a7a7a1206860f6302f59f4ef7.jpg
embeddings_train_data\bottomwear\anchor\671141febcd458984b64d7957eb3a284.jpg,embeddings_train_data\bottomwear\positive\a35cd17cd847cd911c1b88d124bdb887.jpg,embeddings_train_data\bottomwear\positive\c413d4a6cb43196cac7a34cae8dca663.jpg
embeddings_train_data\bottomwear\anchor\ac18640647d17f7b25c27299ab23b4e2.jpg,embeddings_train_data\bottomwear\positive\92b1f8fc0187138ee899871a69370dea.jpg,embeddings_train_data\bottomwear\positive\ce3ca75c827fe7aafea0b60432232c98.jpg
embeddings_train_data\bottomwear\anchor\3e952dcb6995eda1813cd0926f49ff13.jpg,embeddings_train_data\bottomwear\positive\05f219dee04e2994fe7dcd7303c423a7.jpg,embeddings_train_data\bottomwear\positive\a90b86fa4dad9c17da201c24948cc4be.jpg
embeddings_train_data\bottomwear\anchor\d804674f8dc2eb0b9302f565ef6d67c3.jpg,embeddings_train_data\bottomwear\positive\e56c0c5fb5b261b11701eaed87c29ef8.jpg,embeddings_train_data\bottomwear\positive\290ea6f8fe602e4a099d5315863f9364.jpg
embeddings_train_data\bottomwear\anchor\3f24131f9c320e60ddde2ddb171ce7cf.jpg,embeddings_train_data\bottomwear\positive\7d4f297c0d6b47c5da9dda635cbdcfa4.jpg,embeddings_train_data\bottomwear\positive\919cfec8950c6f5ca737f22a0440ecdf.jpg
embeddings_train_data\bottomwear\anchor\8d1441d3e54f4e37a498db0b32a577c9.jpg,embeddings_train_data\bottomwear\positive\692669e0198dfcc828b86f89fe13434c.jpg,embeddings_train_data\bottomwear\positive\55b1c93c5e33d808462cb3f4efa33b2b.jpg
embeddings_train_data\bottomwear\anchor\96c2b0adc9637f898003852d97478000.jpg,embeddings_train_data\bottomwear\positive\8bebd294959a314248899386fe79840a.jpg,embeddings_train_data\bottomwear\positive\0768b13ced4425ce72c114208ddc7483.jpg
embeddings_train_data\bottomwear\anchor\966212ae7fa853c465fbd603154dddde.jpg,embeddings_train_data\bottomwear\positive\3408d41dd3489be674bd4624f66da9f1.jpg,embeddings_train_data\bottomwear\positive\2f4452af8e9f5b4d1b2f6fa83894fc30.jpg
embeddings_train_data\bottomwear\anchor\67b45df135ae35e9a337d20ec7d2ea8c.jpg,embeddings_train_data\bottomwear\positive\8f3a540032496ecb648f50fca085677e.jpg,embeddings_train_data\bottomwear\positive\429281c4434a6f205d2fefa66b6d6243.jpg
embeddings_train_data\bottomwear\anchor\b03ab045237eda8a78ba6d8de6d3179f.jpg,embeddings_train_data\bottomwear\positive\e2b37ed53d915ff439368258fe700f16.jpg,embeddings_train_data\bottomwear\positive\e2fa01ae2c4b1493e5e5accd77a89b4d.jpg
embeddings_train_data\bottomwear\anchor\10897ab0cd611593bc998e8387a96dca.jpg,embeddings_train_data\bottomwear\positive\c3c6767fd477a1d07b6e35d70db7e909.jpg,embeddings_train_data\bottomwear\positive\023168aaac2085d1120504bb193f6562.jpg
embeddings_train_data\bottomwear\anchor\3df2a86d8d1d98def4ed217b12179194.jpg,embeddings_train_data\bottomwear\positive\94d3293b7802994ec3ac3333b58b0509.jpg,embeddings_train_data\bottomwear\positive\68513e0520e2b45d0a924424ffdd5bb9.jpg
embeddings_train_data\bottomwear\anchor\4bcc939011c4cea6c4963f46a83eb6ab.jpg,embeddings_train_data\bottomwear\positive\cb5d41d72100aa658c2712870af34dbd.jpg,embeddings_train_data\bottomwear\positive\2def2f511e4ca13599612c8b6d19f5f7.jpg
embeddings_train_data\bottomwear\anchor\e4b97010ca79ed5c8c478be62d5af0ea.jpg,embeddings_train_data\bottomwear\positive\0bcdf2398b513768cbe5b580ddc3aff3.jpg,embeddings_train_data\bottomwear\positive\ff1194351b0969e557c136acfb83592b.jpg
embeddings_train_data\bottomwear\anchor\cad9b5c6cc7c8492de1c79ff4961e198.jpg,embeddings_train_data\bottomwear\positive\1ba45e04250275d622313c21ea024983.jpg,embeddings_train_data\bottomwear\positive\1499abd51f366dd72026cceace74fc5a.jpg
embeddings_train_data\bottomwear\anchor\5602962d37976ef26ec0991e60214079.jpg,embeddings_train_data\bottomwear\positive\ccecd138d581a694a61df1af0fe829c0.jpg,embeddings_train_data\bottomwear\positive\970be60631060c1739fcdfe7504b7da6.jpg
embeddings_train_data\bottomwear\anchor\47817e1471a71ae15289f03086d9e7c5.jpg,embeddings_train_data\bottomwear\positive\74912721de92cb866650abfba6cd7b31.jpg,embeddings_train_data\bottomwear\positive\c59dee9103ef7495507e25ee856b6d86.jpg
embeddings_train_data\bottomwear\anchor\006e4b2371290b3cd2e4cfc4e4949de7.jpg,embeddings_train_data\bottomwear\positive\b480448790453aa9890f4f0ac855bbe2.jpg,embeddings_train_data\bottomwear\positive\bb94a5acb3cf4282203d1f7c4296f0ec.jpg
embeddings_train_data\bottomwear\anchor\5a1c8e932e364d4bcb608aefd499cfec.jpg,embeddings_train_data\bottomwear\positive\2d34fd06bc8546b907150c44837e0dea.jpg,embeddings_train_data\bottomwear\positive\b0ae0c5a857608c6eefae419c7015064.jpg
embeddings_train_data\bottomwear\anchor\3bee1aca67b722a525615dc419f7c079.jpg,embeddings_train_data\bottomwear\positive\797ccf7e233d4eade2bae2d667ca89f8.jpg,embeddings_train_data\bottomwear\positive\488c0671b9f9b7a9b680e3f4b0af4c35.jpg
embeddings_train_data\bottomwear\anchor\ab20babad4f4a5b917f1a68c6efd2603.jpg,embeddings_train_data\bottomwear\positive\f8e0880f113fa775b77558bbb256a2ef.jpg,embeddings_train_data\bottomwear\positive\51f9ecdc8ba662b12753a8ce3ff84369.jpg
embeddings_train_data\bottomwear\anchor\8dd60237f14ce0b94b566205e9415c5b.jpg,embeddings_train_data\bottomwear\positive\76b84a003a01dbf16824d5ae90ba8f27.jpg,embeddings_train_data\bottomwear\positive\edc90d009159f67d4c46392e88d8a00a.jpg
embeddings_train_data\bottomwear\anchor\5afada646a6bfbc78c3d92bedee9dcec.jpg,embeddings_train_data\bottomwear\positive\2e35b52dbb0629784a903d1dbd7c6c46.jpg,embeddings_train_data\bottomwear\positive\c406e2cb31624774d3cd3b1abbe912ce.jpg
embeddings_train_data\bottomwear\anchor\323f6064c60204d3e633f50753949145.jpg,embeddings_train_data\bottomwear\positive\f7a9765341e77f01ca93b1fd96d5fb0b.jpg,embeddings_train_data\bottomwear\positive\63e443ddd94f2abcbecf6ece7606951f.jpg
embeddings_train_data\bottomwear\anchor\58a49aebc2d660d68c86f00a5e082591.jpg,embeddings_train_data\bottomwear\positive\addb3efe26da2043b7d5c1dc3157e6c3.jpg,embeddings_train_data\bottomwear\positive\51aa4dff8b8618795d879cdcc53cceb1.jpg
embeddings_train_data\bottomwear\anchor\69fad49b5ccea9912a0c3ca63dbe2311.jpg,embeddings_train_data\bottomwear\positive\4c9a3409b2982a86b9b10aed5dd7500e.jpg,embeddings_train_data\bottomwear\positive\c3c41c78b87e62938e457493f415d521.jpg
embeddings_train_data\bottomwear\anchor\a73e405f0bf5783b9242ad2284010813.jpg,embeddings_train_data\bottomwear\positive\ec077a05e88d0240317a2d87dfd83324.jpg,embeddings_train_data\bottomwear\positive\2f0d5a3bc1d57196cce5491e3482bd72.jpg
embeddings_train_data\bottomwear\anchor\8e5be88b9146c3f0187839d820c1aa35.jpg,embeddings_train_data\bottomwear\positive\55b4acb5e8f8d0df79fc5c3519db945a.jpg,embeddings_train_data\bottomwear\positive\bd11c2ab4b89061884b266d2a880fcc0.jpg
embeddings_train_data\bottomwear\anchor\cb74fe9e85bd6fb3db10de27e983fd9c.jpg,embeddings_train_data\bottomwear\positive\d83fa9917e00cc02c89718313e4d35f5.jpg,embeddings_train_data\bottomwear\positive\ca8116c4a6839f3081654f810d2f625b.jpg
embeddings_train_data\bottomwear\anchor\bb78b8cefb1b37994778f2d665cfd4f1.jpg,embeddings_train_data\bottomwear\positive\a3c34562a9a03796ec75ac7becb94a2f.jpg,embeddings_train_data\bottomwear\positive\f6974aab5e37d8a4b823aa4e44fb51b8.jpg
embeddings_train_data\bottomwear\anchor\8e3a6988d0212ef66d42b209c056dcf7.jpg,embeddings_train_data\bottomwear\positive\7da01d20316d9bd8c85b6143f5b0681b.jpg,embeddings_train_data\bottomwear\positive\7bf35fb552bcdc6e76690d477afcc258.jpg
embeddings_train_data\bottomwear\anchor\08c4262b7f20d9173b15fa6995732a4c.jpg,embeddings_train_data\bottomwear\positive\0a3827c658de554e3b768c762af22d75.jpg,embeddings_train_data\bottomwear\positive\c22d203b91fe8b43cf81de683ef64907.jpg
embeddings_train_data\bottomwear\anchor\39fed014fa13c3130221c7da7674677f.jpg,embeddings_train_data\bottomwear\positive\190034a0a42d316d335c6819c4186659.jpg,embeddings_train_data\bottomwear\positive\04920631ad4f061cc6b317c6e91b76b8.jpg
embeddings_train_data\bottomwear\anchor\76c1104a03ccf08f598aa2efbbb20fea.jpg,embeddings_train_data\bottomwear\positive\04c88e8e01fe63fbec2143e30f328679.jpg,embeddings_train_data\bottomwear\positive\b12ff809884f9debd15c6f60be796fd1.jpg
embeddings_train_data\bottomwear\anchor\24c393d19ea2711e7325596b9f131efa.jpg,embeddings_train_data\bottomwear\positive\d6483d1901ead5c0ba309a9d66d4728c.jpg,embeddings_train_data\bottomwear\positive\75ee2ee7892526b186faabc5329cfdc1.jpg
embeddings_train_data\bottomwear\anchor\ac18640647d17f7b25c27299ab23b4e2.jpg,embeddings_train_data\bottomwear\positive\52165d9422d20b4bcdd8a2e1da711f77.jpg,embeddings_train_data\bottomwear\positive\e02dec0d37b99a07214e0d5852366d63.jpg
embeddings_train_data\bottomwear\anchor\8ecd45c214bba029bc01ebc41a2ac794.jpg,embeddings_train_data\bottomwear\positive\c1ecfd4af7e9a8109e8a57390ccd1f5f.jpg,embeddings_train_data\bottomwear\positive\14e3b5015a79a72a3c4a11f15f659e7e.jpg
embeddings_train_data\bottomwear\anchor\a16b9e8601b5d59c4c007a6a417eaa92.jpg,embeddings_train_data\bottomwear\positive\10cc41a8c61aaca4ceec55b762f3450f.jpg,embeddings_train_data\bottomwear\positive\e4b9a93d8a54f72241e504a6ffa37eb2.jpg
embeddings_train_data\bottomwear\anchor\7e2edbc18b795c5e34c64b2d97a158c9.jpg,embeddings_train_data\bottomwear\positive\7d4f297c0d6b47c5da9dda635cbdcfa4.jpg,embeddings_train_data\bottomwear\positive\2db0827a9850886a1a93e624081d8952.jpg
embeddings_train_data\bottomwear\anchor\717d39b329c49e835e9431dc965fe406.jpg,embeddings_train_data\bottomwear\positive\3a20e4b8ce312251c71bae8d2d6cdc6a.jpg,embeddings_train_data\bottomwear\positive\8fc3f438c47b7f63e43c54fbc1aaba5e.jpg
embeddings_train_data\bottomwear\anchor\b74649d4edc9c92d2f027c4e9ca83867.jpg,embeddings_train_data\bottomwear\positive\ba9ab7d0aa66f623ed9c7aff30c164bf.jpg,embeddings_train_data\bottomwear\positive\cd1fb2b0d08273351c5f69d3379f34d6.jpg
embeddings_train_data\bottomwear\anchor\1e01d25606a4cd4db9ef21224c495c47.jpg,embeddings_train_data\bottomwear\positive\af9f58977643dc2e4fab81849c7ed448.jpg,embeddings_train_data\bottomwear\positive\4d3b20cd351bfc5a1affcf5ca8ff0a03.jpg
embeddings_train_data\bottomwear\anchor\79f30ea26643cb5cf0c462690c12a2d9.jpg,embeddings_train_data\bottomwear\positive\1ab9e2ad168747f3d66e22d0e2b7a29a.jpg,embeddings_train_data\bottomwear\positive\6b04261ddfe62a1dd2673a706d124566.jpg
embeddings_train_data\bottomwear\anchor\0c85ee58ea8d1ccf98507f1e472131d9.jpg,embeddings_train_data\bottomwear\positive\c1a66641f8266912908df99b30e9ba76.jpg,embeddings_train_data\bottomwear\positive\1576bb8f6171215542e02509d2185eda.jpg
embeddings_train_data\bottomwear\anchor\c4e8ca061823ec69193092f9975009c2.jpg,embeddings_train_data\bottomwear\positive\fca1ad120cf1b32b1a6350351c00534e.jpg,embeddings_train_data\bottomwear\positive\99598af9ad1ac6b45a5a37c828605c21.jpg
embeddings_train_data\bottomwear\anchor\c6b74d6284d3f8d2ce9e098c3e42d329.jpg,embeddings_train_data\bottomwear\positive\935d64bde00557e2fb3e0fcd240a241e.jpg,embeddings_train_data\bottomwear\positive\9a7affce55c2e67aea6c976de8d7c8a6.jpg
embeddings_train_data\bottomwear\anchor\28b7fb3f3211097df5dd1133995bb4ef.jpg,embeddings_train_data\bottomwear\positive\91981e7b38066aad43028e05beb30b2e.jpg,embeddings_train_data\bottomwear\positive\84125edc682ebaa0d297abe498fc908f.jpg
embeddings_train_data\bottomwear\anchor\f5a9c8cb3736d2019d4064c0edcf0316.jpg,embeddings_train_data\bottomwear\positive\23b498b05481d7b24902bfa91564568f.jpg,embeddings_train_data\bottomwear\positive\fbb087b18d61de4d5c180f05625a757e.jpg
embeddings_train_data\bottomwear\anchor\767a88ab47adf83950ee2ab61fa4322c.jpg,embeddings_train_data\bottomwear\positive\20d029be86ff2c27958ca6d7ccae34fd.jpg,embeddings_train_data\bottomwear\positive\42b298b48027a5aeb545e569cb2f3cb0.jpg
embeddings_train_data\bottomwear\anchor\f9027612dcb23638fe7f32687ea942e1.jpg,embeddings_train_data\bottomwear\positive\75154ff71dc0541163a4642ec91459d6.jpg,embeddings_train_data\bottomwear\positive\ba9a5c94197e6bb39ff32fc9f7aa7672.jpg
embeddings_train_data\bottomwear\anchor\b62b6d2a7d3d01ec7cd3097f0f9ec152.jpg,embeddings_train_data\bottomwear\positive\0cef85bb6c176e94abaa9e387f1dc19d.jpg,embeddings_train_data\bottomwear\positive\47b534e13884110ecaa9e9246969e74b.jpg
embeddings_train_data\bottomwear\anchor\b57828fa1918c44c66f102667876bb01.jpg,embeddings_train_data\bottomwear\positive\9f69d131e735f88b946efb55444caa37.jpg,embeddings_train_data\bottomwear\positive\37cecdaa30784799d36a959d50d4da02.jpg
embeddings_train_data\bottomwear\anchor\2303dbc959e47f7a036ab55d6c3dbd4f.jpg,embeddings_train_data\bottomwear\positive\a92399a7ab7a4b62b2120da9d6bf1bf6.jpg,embeddings_train_data\bottomwear\positive\45ccedbad3c0f27738166e39e8af1e84.jpg
embeddings_train_data\bottomwear\anchor\e4d47d40a789156d29399476abfdcb66.jpg,embeddings_train_data\bottomwear\positive\ac8479cbb670dfe303ceaa734d1eabe0.jpg,embeddings_train_data\bottomwear\positive\f9d41577d3f4d475596339a1f74d2140.jpg
embeddings_train_data\bottomwear\anchor\65871210e3504481a03607c6848ad210.jpg,embeddings_train_data\bottomwear\positive\32b10c3fd8058bcfd9e3e08094f3c773.jpg,embeddings_train_data\bottomwear\positive\458baa3a501c82703b193e70ac79d923.jpg
embeddings_train_data\bottomwear\anchor\b4e40aa33f8b4af36dbd4ee8f8be8237.jpg,embeddings_train_data\bottomwear\positive\76ef890abd0fe54448f3d0c05215a69a.jpg,embeddings_train_data\bottomwear\positive\9ff39edff452975d41c403017021853d.jpg
embeddings_train_data\bottomwear\anchor\865da124871041b1091f2a532ee39f7d.jpg,embeddings_train_data\bottomwear\positive\695bffea45e2bc768fcd4a17218d0c0e.jpg,embeddings_train_data\bottomwear\positive\4cb33f802c2c7ff7f38a5b94c8a540ce.jpg
embeddings_train_data\bottomwear\anchor\2e60570e47bf01eb001fe7a7d1444d46.jpg,embeddings_train_data\bottomwear\positive\52badd83325521bbec94aa3d486cc81d.jpg,embeddings_train_data\bottomwear\positive\d1aca89216d87eb5d625304171c69e42.jpg
embeddings_train_data\bottomwear\anchor\30f7a4db4671d0343512bdd7fe74b643.jpg,embeddings_train_data\bottomwear\positive\acb32a59e08b185f1b13088d03556901.jpg,embeddings_train_data\bottomwear\positive\32a02333f67cd157b6acf78c0d9b7359.jpg
