anchor,positive,negative
embeddings_train_data\topwear\anchor\5aead1c7028471e1173356f032e150fc.jpg,embeddings_train_data\topwear\positive\197362f515964328d73b8faa14e2002a.jpg,embeddings_train_data\topwear\positive\1d3a624c8c0fe245681b157d4ea6993d.jpg
embeddings_train_data\topwear\anchor\3ba6664794d634cf439614f329de1844.jpg,embeddings_train_data\topwear\positive\0703a31171ed60ef6357c508780aacd1.jpg,embeddings_train_data\topwear\positive\83b022d1d196d632d3e244b7e7cf983d.jpg
embeddings_train_data\topwear\anchor\5077279cb2f9a7b4c7910c59f9e38b80.jpg,embeddings_train_data\topwear\positive\6bfd5299e4251f584bf555a4910ec69e.jpg,embeddings_train_data\topwear\positive\f0f7c387fb4e15d759f4f01a260237e0.jpg
embeddings_train_data\topwear\anchor\bf4f288c3b3a505aedc21a0e776de075.jpg,embeddings_train_data\topwear\positive\f412fc0b9dca60b1e17207af01d50c90.jpg,embeddings_train_data\topwear\positive\476e96b6ebbfd9f2560d0b65ce8e0e45.jpg
embeddings_train_data\topwear\anchor\921258d31510f4fe25f27aa49ac7f667.jpg,embeddings_train_data\topwear\positive\94957f95f1558ba0b1597e64689e01bd.jpg,embeddings_train_data\topwear\positive\0c138e39e4f79af05c951034e01a2a29.jpg
embeddings_train_data\topwear\anchor\c57c071a9fa6ed38b7f3d7219bd381e8.jpg,embeddings_train_data\topwear\positive\ed9520a22f73641794d125b13198c4f7.jpg,embeddings_train_data\topwear\positive\592510518cd2a30f24e483e66ad2de07.jpg
embeddings_train_data\topwear\anchor\f1b19b202e8d558fd383e5d5f5f844d1.jpg,embeddings_train_data\topwear\positive\a66f195515c7038d54a8d5992da698c7.jpg,embeddings_train_data\topwear\positive\02db4aae8eb6a7299926da40586b677c.jpg
embeddings_train_data\topwear\anchor\63f78a058415360a0e1d69fe5cfd086a.jpg,embeddings_train_data\topwear\positive\5c6e179402df5fbd60339c222bb884ab.jpg,embeddings_train_data\topwear\positive\5fca5d381cf970230c3a189ca8e81230.jpg
embeddings_train_data\topwear\anchor\2c314f8961f51c39eb41552251f351e8.jpg,embeddings_train_data\topwear\positive\964e98cc777d317395830791e03965fc.jpg,embeddings_train_data\topwear\positive\9160f905066ec318eb96439d6c504ddd.jpg
embeddings_train_data\topwear\anchor\9a4ad79e51ef5e63c2e3e9581ffd78a6.jpg,embeddings_train_data\topwear\positive\8de31472c13d3fdb06c31ac185392899.jpg,embeddings_train_data\topwear\positive\e3e40a13d87d6be13cf270c3923ef832.jpg
embeddings_train_data\topwear\anchor\cdff384f701a023e3d8824d1d7c44e5f.jpg,embeddings_train_data\topwear\positive\0c6dad5a4f98b4f5ec0aeb53245f1b64.jpg,embeddings_train_data\topwear\positive\9c134deca189459b10c43863af228569.jpg
embeddings_train_data\topwear\anchor\e185de525f9d5d755e55f14dbdc56872.jpg,embeddings_train_data\topwear\positive\e3059d88f1a012a4307530674ddeb317.jpg,embeddings_train_data\topwear\positive\186e7982e7f32573b3c21bc1fa810264.jpg
embeddings_train_data\topwear\anchor\b8f8ffd9fb44f89c7c1a4362f8252501.jpg,embeddings_train_data\topwear\positive\0fab28716a989dfda9ed97e8a61f6d6e.jpg,embeddings_train_data\topwear\positive\57f51868ecae72a0f6364283c9ddad70.jpg
embeddings_train_data\topwear\anchor\52b2722f4b3b57d181506cf03d328aa5.jpg,embeddings_train_data\topwear\positive\674d4b087f5ee0ded845a67d48e5cae2.jpg,embeddings_train_data\topwear\positive\2a8aa55552464d36a107717db0fda185.jpg
embeddings_train_data\topwear\anchor\74bf826f91b43cd245095da5b1d019af.jpg,embeddings_train_data\topwear\positive\f778039d28d375d475e20ae1a4247199.jpg,embeddings_train_data\topwear\positive\db12d22427df72b10f9409c748c606fa.jpg
embeddings_train_data\topwear\anchor\418468c379a8137458a55405c2a92225.jpg,embeddings_train_data\topwear\positive\5aede30a4ae74ba30babf7585cc353bb.jpg,embeddings_train_data\topwear\positive\a898319ff35c73606d2ae67c2758347a.jpg
embeddings_train_data\topwear\anchor\4f6d98d39215503a0bd3dacaca152081.jpg,embeddings_train_data\topwear\positive\bffa364d83e8048865329ce65a46c9ec.jpg,embeddings_train_data\topwear\positive\5b3698a780d143a719d6532223857720.jpg
embeddings_train_data\topwear\anchor\f664d25495cccf279130c60812a6935f.jpg,embeddings_train_data\topwear\positive\f1b7d88bb5fabf1fea07c7b3be5fb3d5.jpg,embeddings_train_data\topwear\positive\c9c81179ca3360e65c6f41fb9b15e9ae.jpg
embeddings_train_data\topwear\anchor\43cff8df60f74daf4c7f9c7f5d0fdace.jpg,embeddings_train_data\topwear\positive\d15e1b4a93bacc342f13f7a707a185b4.jpg,embeddings_train_data\topwear\positive\439df0c97108ebd63febd8aa33da470b.jpg
embeddings_train_data\topwear\anchor\01e2a7bd19f1bab21983a3a55e2a9960.jpg,embeddings_train_data\topwear\positive\a55836670940243925853213dbcdc2d2.jpg,embeddings_train_data\topwear\positive\d6100122e886de4972ed79a762973c34.jpg
embeddings_train_data\topwear\anchor\cee26103b10b41f1d7c7c35d81ddb15e.jpg,embeddings_train_data\topwear\positive\0095d89ae90a069fd23e5a006f9ded50.jpg,embeddings_train_data\topwear\positive\0b8cd7f0cd7670d996150aa9beaa5342.jpg
embeddings_train_data\topwear\anchor\1be170d0a63b6a79076137975640f424.jpg,embeddings_train_data\topwear\positive\9a77e8733b2ad79ca3f05add66f0ec14.jpg,embeddings_train_data\topwear\positive\f1bc91a42833e0d27ad807767d7607bc.jpg
embeddings_train_data\topwear\anchor\36ea63f10e3d68f5581126c9fd1e7e0c.jpg,embeddings_train_data\topwear\positive\1668dd89b08a5f8fed0e8a074419c02b.jpg,embeddings_train_data\topwear\positive\f1bc91a42833e0d27ad807767d7607bc.jpg
embeddings_train_data\topwear\anchor\d0990225d4718592dee08c1e6ab2694d.jpg,embeddings_train_data\topwear\positive\488e05aea8ba2dde345ca1f5aaeab3f0.jpg,embeddings_train_data\topwear\positive\168853186f017ab4304ddf011e070881.jpg
embeddings_train_data\topwear\anchor\cd00ef1f0fd2de53a53e106fbdcfc133.jpg,embeddings_train_data\topwear\positive\1352909136a96e23524ec550fd088038.jpg,embeddings_train_data\topwear\positive\5276f0e9e5149f6d91b8bc7042808ba5.jpg
embeddings_train_data\topwear\anchor\13dbfd9ad4f4d03830180446348c5609.jpg,embeddings_train_data\topwear\positive\5f3043d3b4a5911499bf690dccdf907e.jpg,embeddings_train_data\topwear\positive\106216ab49dd29245069bc2e6079c59f.jpg
embeddings_train_data\topwear\anchor\408e4e7afd546e91ca81cfad71661a11.jpg,embeddings_train_data\topwear\positive\173f3bc7cf6992522d5f24c5caa67f07.jpg,embeddings_train_data\topwear\positive\ea7094a838bfc24c692357ab6833ec27.jpg
embeddings_train_data\topwear\anchor\f594a020ffe684f3794cd5e31bc92d48.jpg,embeddings_train_data\topwear\positive\868a3501401651abfb7f0f711d5bf02c.jpg,embeddings_train_data\topwear\positive\f1ec34ebf4162b1baf4334d78a215e50.jpg
embeddings_train_data\topwear\anchor\d6c642e96f3e46cd42daf73649a5986e.jpg,embeddings_train_data\topwear\positive\451a53b8add2bc6ed62dc8418780c26f.jpg,embeddings_train_data\topwear\positive\c9f6490f7292686cc3ec538e1e90cab6.jpg
embeddings_train_data\topwear\anchor\1ec77408437ac6f76768eb77f56c77a0.jpg,embeddings_train_data\topwear\positive\82dfda8a21f13655edadc03d56cef388.jpg,embeddings_train_data\topwear\positive\d63d4379574abaf57189218633140edb.jpg
embeddings_train_data\topwear\anchor\50ec6d75b02153d01165c83f355b0054.jpg,embeddings_train_data\topwear\positive\fb9a278e73e561338e64d0e6a2bee07d.jpg,embeddings_train_data\topwear\positive\674d4b087f5ee0ded845a67d48e5cae2.jpg
embeddings_train_data\topwear\anchor\ff5648bce9ea9af51e3710d07ce1e9f5.jpg,embeddings_train_data\topwear\positive\94ee5cb4d2ce35c482b8c567590ccd0f.jpg,embeddings_train_data\topwear\positive\896393ed77da206962ce32f20452988a.jpg
embeddings_train_data\topwear\anchor\4a52c276488446e5f3861b151ecff116.jpg,embeddings_train_data\topwear\positive\ef836968a0f79f8f9cb93377472fffe4.jpg,embeddings_train_data\topwear\positive\17c90798ca9bfea4a6848b6bb3c6716b.jpg
embeddings_train_data\topwear\anchor\a03916c0c643a532c417c4bad5bd6f96.jpg,embeddings_train_data\topwear\positive\a97baca90cf0f28af2d1ea446e121bf2.jpg,embeddings_train_data\topwear\positive\b9cb0cb7f0b03ef7df68e815fda495f2.jpg
embeddings_train_data\topwear\anchor\6a152ae08d67b07fd9005b1e7b8e3bc9.jpg,embeddings_train_data\topwear\positive\7789d8a6df3667876d82167b54b596f3.jpg,embeddings_train_data\topwear\positive\c699fa51b869bbe8178499245d77e0aa.jpg
embeddings_train_data\topwear\anchor\6b1111a1f7b3a89c1addc503c0872db2.jpg,embeddings_train_data\topwear\positive\c1a8d7542c6edcab3abfd9175bd25995.jpg,embeddings_train_data\topwear\positive\504b40f493ecf5d880c7ec29595e1158.jpg
embeddings_train_data\topwear\anchor\370db83eb9af59fede136fd0b7c8e118.jpg,embeddings_train_data\topwear\positive\a7a5c545d16fd181aab4e9dcb42e47ed.jpg,embeddings_train_data\topwear\positive\825dbcc4d9a2f015413e4ff41d767353.jpg
embeddings_train_data\topwear\anchor\43257f8378a2cf1a2fea9ecfb33999b4.jpg,embeddings_train_data\topwear\positive\3b37677b5c66ecbac8bd8cf18199df70.jpg,embeddings_train_data\topwear\positive\5b4a6c6568b3adaff9f00c68dbed1a82.jpg
embeddings_train_data\topwear\anchor\e54bd2396df1b5f37a2a4e739b9ace31.jpg,embeddings_train_data\topwear\positive\8cb3d8e7630f50ea1e7f0aad0f883e56.jpg,embeddings_train_data\topwear\positive\e7d70ce42ca57182c097ebd64f7ba91f.jpg
embeddings_train_data\topwear\anchor\4cd329def58a4b7086d536d63368eb80.jpg,embeddings_train_data\topwear\positive\2e5a2881eb9f41a91b35a0bd3268055e.jpg,embeddings_train_data\topwear\positive\1c3d97172a9fbba0fff1fb4e2b2cf332.jpg
embeddings_train_data\topwear\anchor\870cc2cf272a4385041b4c4df2fcdd21.jpg,embeddings_train_data\topwear\positive\58e5fa870b63b4640a4e2c53a1cb7df2.jpg,embeddings_train_data\topwear\positive\85ce6abb325af6ef6c19077543274730.jpg
embeddings_train_data\topwear\anchor\c77ebc3e0b7543b038ab2a34a2934313.jpg,embeddings_train_data\topwear\positive\80f44b1b8b959957de56ccb57cae076b.jpg,embeddings_train_data\topwear\positive\cbb18bfeee194626cbe8a756ac1a9bb8.jpg
embeddings_train_data\topwear\anchor\4c8a3f08df0a21bac490d102c9af03a7.jpg,embeddings_train_data\topwear\positive\1f39884af50ca2a2a2a2162c767df309.jpg,embeddings_train_data\topwear\positive\d1e1ca131b7c652f0e4e0989ee9b5486.jpg
embeddings_train_data\topwear\anchor\e45c050bcf756fa546676d76be64e754.jpg,embeddings_train_data\topwear\positive\cdd247fb624273bce462ed8442bc0e57.jpg,embeddings_train_data\topwear\positive\d9d2d3591db29da2811d48c97377cb77.jpg
embeddings_train_data\topwear\anchor\303176243ad5ea51f524cf46a1f25311.jpg,embeddings_train_data\topwear\positive\e192defc590ef5851d523fc4b2ca79c9.jpg,embeddings_train_data\topwear\positive\718f480907f7b926a79b35df842dd954.jpg
embeddings_train_data\topwear\anchor\218be80d654ba5d372986bb0fcc44929.jpg,embeddings_train_data\topwear\positive\ddd6e89d234df3ab296c357606bb1b30.jpg,embeddings_train_data\topwear\positive\b47e656f92e5953853e19373fff337b8.jpg
embeddings_train_data\topwear\anchor\c9d7ffcb8b3d78af347f71ab2d0d004c.jpg,embeddings_train_data\topwear\positive\faa3a3b6d7202c80bff80efe3a4878bc.jpg,embeddings_train_data\topwear\positive\5dc6861551a5d5ab7f221bafae8ea09b.jpg
embeddings_train_data\topwear\anchor\14092921694d3099905a296619af1d32.jpg,embeddings_train_data\topwear\positive\630fb1466d87d367496a4a7b8db07c68.jpg,embeddings_train_data\topwear\positive\621db72cff239933460b988596ebc3e1.jpg
embeddings_train_data\topwear\anchor\134ce73de438f991d72363e0c8f85985.jpg,embeddings_train_data\topwear\positive\342899b593928909b61d3454c0b8c2d8.jpg,embeddings_train_data\topwear\positive\cf29c4c74662ad002e2b1134330849c3.jpg
embeddings_train_data\topwear\anchor\55d108c605cbe528bbf3ff290952fdea.jpg,embeddings_train_data\topwear\positive\59a98e0eccf47fba6c6c079427253942.jpg,embeddings_train_data\topwear\positive\a99a6e4b7deec3035352e7320d1a573e.jpg
embeddings_train_data\topwear\anchor\7562b43d6316eccd3469928e49e5ac65.jpg,embeddings_train_data\topwear\positive\f1779d6fdb569bb2686dabe79780699a.jpg,embeddings_train_data\topwear\positive\dcc45dac53200b47c8ea03c1f87bc60f.jpg
embeddings_train_data\topwear\anchor\16f8fb4969d7a2c404a661ea7485ef36.jpg,embeddings_train_data\topwear\positive\b3640bade29f46c4271f58145fb20ea4.jpg,embeddings_train_data\topwear\positive\6840f0b6e28343239fe92ce8f1a39d77.jpg
embeddings_train_data\topwear\anchor\bfa741ef90503d5fc8e7b214a11c7937.jpg,embeddings_train_data\topwear\positive\9b83733994f3dceb876a880585726ac0.jpg,embeddings_train_data\topwear\positive\4d75028a0e1c356f4e958a05af82db7e.jpg
embeddings_train_data\topwear\anchor\c54c8bad46c72f64684db3588f706e10.jpg,embeddings_train_data\topwear\positive\d84f39ef4e282a49ff7b2ee61fc8ba4e.jpg,embeddings_train_data\topwear\positive\413a90d546d94955d502210afa84c036.jpg
embeddings_train_data\topwear\anchor\594cb1e9527cf050fa9908323d19238a.jpg,embeddings_train_data\topwear\positive\d990b3b0dc2f60d9db448f850261b0a4.jpg,embeddings_train_data\topwear\positive\6c2793cc1a8cc1390dc77db544227df5.jpg
embeddings_train_data\topwear\anchor\5b933d7939650e797cc9b97be1c0af45.jpg,embeddings_train_data\topwear\positive\b2ae1d8beeb986de0d148fd630fda82e.jpg,embeddings_train_data\topwear\positive\396c8bfc0899ee662951d92aba1be3df.jpg
embeddings_train_data\topwear\anchor\b363b1b27d66ac115ae5645a777cc58f.jpg,embeddings_train_data\topwear\positive\e5cf9d49326307f7c485945b9c71efcd.jpg,embeddings_train_data\topwear\positive\a993edd96f8094e871c5e872980eca57.jpg
embeddings_train_data\topwear\anchor\4dfa8416bb617bc4e21bc9b6108beb54.jpg,embeddings_train_data\topwear\positive\0d533fe0338c8901270c2becb14cbff2.jpg,embeddings_train_data\topwear\positive\610daed2602bdde83341f295ebf41281.jpg
embeddings_train_data\topwear\anchor\7231c81396772f3ce0070ca37b0eb621.jpg,embeddings_train_data\topwear\positive\1cc9971cd1c9562d07748d164e79ea66.jpg,embeddings_train_data\topwear\positive\fdc66fc761a492ff89d186537f2845f0.jpg
embeddings_train_data\topwear\anchor\da320e1b282785cf88719e91c756d79f.jpg,embeddings_train_data\topwear\positive\4aa83271636c91042b3996f1484be111.jpg,embeddings_train_data\topwear\positive\d98516d3a611dfb73a10023a795a4f4c.jpg
embeddings_train_data\topwear\anchor\f62da45dfe2c34fa9d4d516efae62522.jpg,embeddings_train_data\topwear\positive\405d559d64d95501ab0573db36ee41b1.jpg,embeddings_train_data\topwear\positive\c5d9972b5dcb82d72d5595f543f766d9.jpg
embeddings_train_data\topwear\anchor\ae7214b3155bf7162c0db19be4212682.jpg,embeddings_train_data\topwear\positive\80966fadd64573c05140445f7ea9fa27.jpg,embeddings_train_data\topwear\positive\8afb0d20a4de12dd167ee0794ca17d82.jpg
embeddings_train_data\topwear\anchor\872093c9fa6ba153e3e569e344ecf4ac.jpg,embeddings_train_data\topwear\positive\fc9c78e0bb834e4218b74fe5e9344a3e.jpg,embeddings_train_data\topwear\positive\bdb160f42fee2ffb9489afc5e3c713c0.jpg
embeddings_train_data\topwear\anchor\3b7f2e2c8dd29e1f732956f8ef3a7ba8.jpg,embeddings_train_data\topwear\positive\7ac757aded67159c2972236e519b1881.jpg,embeddings_train_data\topwear\positive\550ded97a52df75d3b3258262b5e70f8.jpg
embeddings_train_data\topwear\anchor\a2ccf60cdfff8d5841f5e5e1d649586c.jpg,embeddings_train_data\topwear\positive\4985ac97d271af92c82914b870e0eaf7.jpg,embeddings_train_data\topwear\positive\6c8e846882f19f0d8104738e5fab4f42.jpg
embeddings_train_data\topwear\anchor\94f8b0fea185f4ba257f3aa6dc63db4d.jpg,embeddings_train_data\topwear\positive\6ea1b9235c95a6de249c6cc6eeb70df1.jpg,embeddings_train_data\topwear\positive\90220b0eb28baccc453dd2cfb9c1e914.jpg
embeddings_train_data\topwear\anchor\1e32f6a142a952d8e95f2dcdc6553e5b.jpg,embeddings_train_data\topwear\positive\f28fb60f9ee74952388c692d79bf7f8e.jpg,embeddings_train_data\topwear\positive\ea10510814da6e4ba4d0e3daf07ee6a1.jpg
embeddings_train_data\topwear\anchor\23a927e600170250de6a08058f9ffa45.jpg,embeddings_train_data\topwear\positive\3f9533bf2194c6189ebc15a89a719dfd.jpg,embeddings_train_data\topwear\positive\f3f99fb823172005fd6cf0252de35758.jpg
embeddings_train_data\topwear\anchor\43257f8378a2cf1a2fea9ecfb33999b4.jpg,embeddings_train_data\topwear\positive\3bb80dba31dcba31d5a79a5b636fd7e8.jpg,embeddings_train_data\topwear\positive\420e2c9b665b8eeaa5e7828251383d56.jpg
embeddings_train_data\topwear\anchor\6bdb48577c4cd3303227cabe5fc1a988.jpg,embeddings_train_data\topwear\positive\81a4191df50ebbbc17fe4306cb663774.jpg,embeddings_train_data\topwear\positive\3b0fbcbba231729b059f14ffa284b011.jpg
embeddings_train_data\topwear\anchor\0eef3beb8be238881b48012877da83cc.jpg,embeddings_train_data\topwear\positive\32a1965d70c3fdae9ac08bd20ac4ce61.jpg,embeddings_train_data\topwear\positive\2fa9332e3aee1846dc981c90cf58a4fa.jpg
embeddings_train_data\topwear\anchor\e495115dfea741069c49b0b0ab292bb3.jpg,embeddings_train_data\topwear\positive\966f75118d9ef9cec1d87db3df479d4d.jpg,embeddings_train_data\topwear\positive\fc367c0d668b07c62509b41868d45367.jpg
embeddings_train_data\topwear\anchor\4e25150702dff172fd8128bd395b8b5f.jpg,embeddings_train_data\topwear\positive\ad1a0d0ecd8771e8d6309d9f85e81096.jpg,embeddings_train_data\topwear\positive\99c03a6d3a7c178632d018e28147eb99.jpg
embeddings_train_data\topwear\anchor\28936261aacd19fca72de15622cdec13.jpg,embeddings_train_data\topwear\positive\377a1fc16a69f5f2ca7cdb0b8b1e1cce.jpg,embeddings_train_data\topwear\positive\4f7b5275d2fe1bbebf54bea486d0f646.jpg
embeddings_train_data\topwear\anchor\70a30e6a7bf5ca3f87e58f1346389488.jpg,embeddings_train_data\topwear\positive\cfdd4af925032ced3a8f32a173612567.jpg,embeddings_train_data\topwear\positive\77a338b060f780a096cdc58133efd631.jpg
